title,make,model,trim ,year,mileagekm,location,fueltype,registeredcity,color,enginecapacitycc,assembly,automatic,pricePKR
Toyota Corolla SE Saloon Automatic 2004,Toyota,Corolla,SE Saloon Automatic  ,2004,186000,Husaini chowk Ranger market hasil pur road,Petrol,Karachi,White,1600,,Automatic,120000
Toyota Corolla Altis Grande CVT-i 1.8 2016,Toyota,Corolla,Altis Grande CVT-i 1.8 ,2016,159000,,Petrol,Punjab,White,1800,,Automatic,310000
Toyota Raize 2021,Toyota,Raize,    ,2021,1700,189-B PakArab Society Ferozpur Road15-A Moulana Shoukat Ali Road,Petrol,Un-Registered,Red,1000,Imported,Automatic,439500
Honda Civic VTi Oriel 1.6 2004,Honda,Civic,VTi Oriel 1.6  ,2004,285000,,Petrol,Sialkot,Grey,1600,,,137500
Toyota Vitz F 1.0 2018,Toyota,Vitz,F 1   ,2018,38000,Hockey Stadium Near Gourmet Bakery,Petrol,Lahore,White,1000,,Automatic,275000
Honda Vezel Hybrid Z Honda Sensing  2015,Honda,Vezel,Hybrid Z Honda Sensing ,2015,80000,"New M.A jinnah road, karachi, sindh, pakistan",Petrol,Karachi,White,1500,Imported,Automatic,395000
Suzuki Bolan 2021,Suzuki,Bolan,    ,2021,14000,,Petrol,Islamabad,White,1000,,,127000
Honda Civic VTi Oriel Automatic 1.6 2000,Honda,Civic,VTi Oriel Automatic 1.6 ,2000,257000,,Petrol,Islamabad,Grey,1600,,Automatic,114500
Suzuki Cultus EURO II 2014,Suzuki,Cultus,EURO II   ,2014,58750,,Petrol,Karachi,Grey,1000,,,115000
Toyota Corolla GLi 1.3 2002,Toyota,Corolla,GLi 1.3   ,2002,110000,,,Islamabad,Silver,1300,,,149000
Honda Vezel Hybrid Z Honda Sensing  2016,Honda,Vezel,Hybrid Z Honda Sensing ,2016,68000,,Petrol,Islamabad,White,1500,Imported,Automatic,425000
Toyota Corolla GLi Automatic 1.6 VVTi 2012,Toyota,Corolla,GLi Automatic 1.6 VVTi ,2012,93000,,Petrol,Punjab,Olive Mica,1600,,Automatic,240000
Toyota Corolla XLi 2008,Toyota,Corolla,XLi    ,2008,110000,,Petrol,Punjab,White,1300,,,198000
Honda City 1.3 i-VTEC 2021,Honda,City,1.3 i-VTEC   ,2021,15770,Multan,Petrol,Un-Registered,White,1300,,,270000
Suzuki Mehran VXR (CNG) 2010,Suzuki,Mehran,VXR (CNG)   ,2010,120000,,Petrol,Islamabad,Silver,800,,,67000
Nissan Note X 2016,Nissan,Note,X    ,2016,79000,37-A Main Boulevard Shok Chowk Johar Town Lahore.,,Punjab,Black,1200,Imported,Automatic,315000
Honda Civic VTi Oriel Prosmatec 1.8 i-VTEC 2007,Honda,Civic,VTi Oriel Prosmatec 1.8 i-VTEC,2007,10000,,Petrol,Karachi,Grey,1800,,Automatic,157000
Suzuki Cultus VXL 2020,Suzuki,Cultus,VXL    ,2022,31000,Jail Road,Petrol,Punjab,White,1000,,,235000
