web-scraper-order,web-scraper-start-url,links,links-href,title,make,trim,year,model,mileage,location,registeryear,fueltype,registeredcity,grade,color,noofownerandaccident,price,pages,pages-href,Automatic,assembly
"1648984874-155","https://buy.carfirst.com/used-cars","Honda Vezel 1.5 RS Hybrid 2017
                                    
                                    
                                                                                2017 
                                                                                                                        Vezel 
                                                                                                                        77,572 
                                                                            
                                    
                                                                              PKR 4,350,000
                                                                                
                                    
                                    
                                      
                                         

                                                                                Khalid Bin Waleed Road
                                                                                                                        , Karachi","https://buy.carfirst.com/used-cars/honda-vezel-2017-1-5-rs-hybrid-pk-1166862?car=warranty","Honda Vezel 1.5 RS Hybrid 2017","Honda","1.5 RS Hybrid","2017","Vezel","77,572","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi","2018","PetrolElectric","Karachi","B","Black","2 Owner 

                            0 Accident","PKR 4,350,000","7","https://buy.carfirst.com/used-cars?page=7","automatic","Assembly"
"1648984863-150","https://buy.carfirst.com/used-cars","Honda Civic 1.8 i-VTEC Prosmatec 2013
                                    
                                    
                                                                                2013 
                                                                                                                        Civic 
                                                                                                                        166,814 
                                                                            
                                    
                                                                              PKR 2,100,000
                                                                                
                                    
                                    
                                      
                                         

                                                                                Lahore Ware House
                                                                                                                        , Lahore","https://buy.carfirst.com/used-cars/honda-civic-2013-1-8-i-vtec-prosmatec-pk-1169998","Honda Civic 1.8 i-VTEC Prosmatec 2013","Honda","1.8 i-VTEC Prosmatec","2013","Civic","166,814","Ali Trade Centre, MM Alam Road, Block B1 Block B 1 Gulberg III, Lahore, Pakistan, Lahore","2013","Petrol","Lahore","C","White","3 Owner 

                            0 Accident","PKR 2,100,000","7","https://buy.carfirst.com/used-cars?page=7","automatic","Assembly"
"1648984938-180","https://buy.carfirst.com/used-cars","Suzuki Alto 660cc VXR 2021
                                    
                                    
                                                                                2021 
                                                                                                                        Alto 
                                                                                                                        19,004 
                                                                            
                                    
                                                                              PKR 1,740,000
                                                                                
                                    
                                    
                                      
                                         

                                                                                Khalid Bin Waleed Road
                                                                                                                        , Karachi","https://buy.carfirst.com/used-cars/suzuki-alto-2021-660cc-vxr-pk-1173365?car=warranty","Suzuki Alto 660cc VXR 2021","Suzuki","660cc VXR","2021","Alto","19,004","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi","2021","Petrol","Karachi","A","Silver","1 Owner 

                            0 Accident","PKR 1,740,000","5","https://buy.carfirst.com/used-cars?page=5","manual","Assembly"
"1648984962-189","https://buy.carfirst.com/used-cars","Suzuki Cultus 1.0 Limited Edition 2017
                                    
                                    
                                                                                2017 
                                                                                                                        Cultus 
                                                                                                                        51,921 
                                                                            
                                    
                                                                              PKR 1,330,000
                                                                                
                                    
                                    
                                      
                                         

                                                                                Khalid Bin Waleed Road
                                                                                                                        , Karachi","https://buy.carfirst.com/used-cars/suzuki-cultus-2017-1-0-limited-edition-pk-1173561?car=warranty","Suzuki Cultus 1.0 Limited Edition 2017","Suzuki","1.0 Limited Edition","2017","Cultus","51,921","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi","2017","Petrol","Karachi","C","White","2 Owner 

                            0 Accident","PKR 1,330,000","4","https://buy.carfirst.com/used-cars?page=4","manual","Assembly"
"1648984811-129","https://buy.carfirst.com/used-cars","Daihatsu Mira 660cc L 2014
                                    
                                    
                                                                                2014 
                                                                                                                        Mira 
                                                                                                                        195,628 
                                                                            
                                    
                                                                              PKR 1,470,000
                                                                                
                                    
                                    
                                      
                                         

                                                                                Khalid Bin Waleed Road
                                                                                                                        , Karachi","https://buy.carfirst.com/used-cars/daihatsu-mira-2014-660cc-l-pk-1155685","Daihatsu Mira 660cc L 2014","Daihatsu","660cc L","2014","Mira","195,628","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi","2017","Petrol","Karachi","C","Red","3 Owner 

                            0 Accident","PKR 1,470,000","8","https://buy.carfirst.com/used-cars?page=8","automatic","Assembly"
"1648984974-194","https://buy.carfirst.com/used-cars","Suzuki Cultus 1.0 VXR 2006
                                    
                                    
                                                                                2006 
                                                                                                                        Cultus 
                                                                                                                        125,000 
                                                                            
                                    
                                                                              PKR 560,000
                                                                                
                                    
                                    
                                      
                                         

                                                                                Khalid Bin Waleed Road
                                                                                                                        , Karachi","https://buy.carfirst.com/used-cars/suzuki-cultus-2006-1-0-vxr-pk-1176530","Suzuki Cultus 1.0 VXR 2006","Suzuki","1.0 VXR","2006","Cultus","125,000","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi","2007","Petrol","Karachi","D","Blue","2 Owner 

                            0 Accident","PKR 560,000","4","https://buy.carfirst.com/used-cars?page=4","manual","Assembly"
"1648984853-146","https://buy.carfirst.com/used-cars","Honda Civic 1.8 i-VTEC Oriel Prosmatec -Reborn 2012
                                    
                                    
                                                                                2012 
                                                                                                                        Civic 
                                                                                                                        101,628 
                                                                            
                                    
                                                                              PKR 1,980,000
                                                                                
                                    
                                    
                                      
                                         

                                                                                Khalid Bin Waleed Road
                                                                                                                        , Karachi","https://buy.carfirst.com/used-cars/honda-civic-2012-1-8-i-vtec-oriel-prosmatec-reborn-pk-1173188","Honda Civic 1.8 i-VTEC Oriel Prosmatec -Reborn 2012","Honda","1.8 i-VTEC Oriel Prosmatec -Reborn","2012","Civic","101,628","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi","2012","Petrol","Karachi","B","Black","4 Owner 

                            0 Accident","PKR 1,980,000","7","https://buy.carfirst.com/used-cars?page=7","automatic","Assembly"
"1648985087-240","https://buy.carfirst.com/used-cars","Toyota Corolla 1.8 Altis SR 2009
                                    
                                    
                                                                                2009 
                                                                                                                        Corolla 
                                                                                                                        136,616 
                                                                            
                                    
                                                                              PKR 1,950,000
                                                                                
                                    
                                    
                                      
                                         

                                                                                Lahore Ware House
                                                                                                                        , Lahore","https://buy.carfirst.com/used-cars/toyota-corolla-2009-1-8-altis-sr-pk-1172026","Toyota Corolla 1.8 Altis SR 2009","Toyota","1.8 Altis SR","2009","Corolla","136,616","Ali Trade Centre, MM Alam Road, Block B1 Block B 1 Gulberg III, Lahore, Pakistan, Lahore","2009","Petrol","Lahore","B","Blue","3 Owner 

                            0 Accident","PKR 1,950,000","","","manual","Assembly"
"1648984809-128","https://buy.carfirst.com/used-cars","Daihatsu Mira 660cc D 2013
                                    
                                    
                                                                                2013 
                                                                                                                        Mira 
                                                                                                                        38,576 
                                                                            
                                    
                                                                              PKR 1,300,000
                                                                                
                                    
                                    
                                      
                                         

                                                                                Khalid Bin Waleed Road
                                                                                                                        , Karachi","https://buy.carfirst.com/used-cars?product_id=4458","Daihatsu Mira 660cc D 2013","Daihatsu","660cc X","2013","Mira","38,576","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi","2016","Petrol","Karachi","C","Black","2 Owner 

                            0 Accident","PKR 1,300,000","8","https://buy.carfirst.com/used-cars?page=8","manual","Assembly"
"1648984867-152","https://buy.carfirst.com/used-cars","Honda Insight 1.3 2010
                                    
                                    
                                                                                2010 
                                                                                                                        Insight 
                                                                                                                        109,543 
                                                                            
                                    
                                                                              PKR 1,720,000
                                                                                
                                    
                                    
                                      
                                         

                                                                                Khalid Bin Waleed Road
                                                                                                                        , Karachi","https://buy.carfirst.com/used-cars/honda-insight-2010-1-3-pk-1175401","Honda Insight 1.3 2010","Honda","1.3","2010","Insight","109,543","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi","2013","PetrolElectric","Karachi","B","Grey","1 Owner 

                            0 Accident","PKR 1,720,000","7","https://buy.carfirst.com/used-cars?page=7","automatic","Assembly"
