web-scraper-order,web-scraper-start-url,links,links-href,title,mileage,location,registeryear,fueltype,registeredcity,color,enginecapacity,assembly,bodytype,automatic,pages,pages-href,price
"1648914593-510","https://www.pakwheels.com/used-cars/search/-/","Toyota Corolla  2004 SE Saloon Automatic for Sale","https://www.pakwheels.com/used-cars/toyota-corolla-2004-for-sale-in-bahawalpur-6065984","Toyota Corolla SE Saloon Automatic 2004","186,000 km","Husaini chowk Ranger market hasil pur road","null","Petrol","Karachi","White","1600 cc","null","null","Automatic","3","https://www.pakwheels.com/used-cars/search/-/?page=3","PKR 12 lacs"
"1648914612-517","https://www.pakwheels.com/used-cars/search/-/","Toyota Corolla  2016 Altis Grande CVT-i 1.8 fo...","https://www.pakwheels.com/used-cars/toyota-corolla-2016-for-sale-in-lahore-6059056","Toyota Corolla Altis Grande CVT-i 1.8 2016","159,000 km","null","null","Petrol","Punjab","White","1800 cc","null","null","Automatic","3","https://www.pakwheels.com/used-cars/search/-/?page=3","PKR 31 lacs"
"1648914653-531","https://www.pakwheels.com/used-cars/search/-/","Toyota Raize  2021  for Sale","https://www.pakwheels.com/used-cars/toyota-raize-2021-for-sale-in-lahore-6065864","Toyota Raize 2021","1,700 km","189-B PakArab Society Ferozpur Road15-A Moulana Shoukat Ali Road","2021","Petrol","Un-Registered","Red","1000 cc","Imported","null","Automatic","3","https://www.pakwheels.com/used-cars/search/-/?page=3","PKR 43.95 lacs"
"1648914400-445","https://www.pakwheels.com/used-cars/search/-/","Honda Civic  2004 VTi Oriel 1.6 for Sale","https://www.pakwheels.com/used-cars/honda-civic-2004-for-sale-in-gujranwala-6065940","Honda Civic VTi Oriel 1.6 2004","285,000 km","null","null","Petrol","Sialkot","Grey","1600 cc","null","null","null","5","https://www.pakwheels.com/used-cars/search/-/?page=5","PKR 13.75 lacs"
"1648914615-518","https://www.pakwheels.com/used-cars/search/-/","Toyota Vitz  2018 F 1.0 for Sale","https://www.pakwheels.com/used-cars/toyota-vitz-2018-for-sale-in-faisalabad-6065993","Toyota Vitz F 1.0 2018","38,000 km","Hockey Stadium Near Gourmet Bakery","null","Petrol","Lahore","White","1000 cc","null","null","Automatic","3","https://www.pakwheels.com/used-cars/search/-/?page=3","PKR 27.5 lacs"
"1648914474-468","https://www.pakwheels.com/used-cars/search/-/","Honda Vezel  2015 Hybrid Z Honda Sensing  for ...","https://www.pakwheels.com/used-cars/honda-vezel-2015-for-sale-in-karachi-5971197","Honda Vezel Hybrid Z Honda Sensing  2015","80,000 km","New M.A jinnah road, karachi, sindh, pakistan","null","Petrol","Karachi","White","1500 cc","Imported","null","Automatic","4","https://www.pakwheels.com/used-cars/search/-/?page=4","PKR 39.5 lacs"
"1648914406-447","https://www.pakwheels.com/used-cars/search/-/","Suzuki Bolan  2021  for Sale","https://www.pakwheels.com/used-cars/suzuki-bolan-2021-for-sale-in-mian-wali-6065941","Suzuki Bolan 2021","14,000 km","null","2021","Petrol","Islamabad","White","1000 cc","null","null","null","5","https://www.pakwheels.com/used-cars/search/-/?page=5","PKR 12.7 lacs"
"1648914590-509","https://www.pakwheels.com/used-cars/search/-/","Honda Civic  2000 VTi Oriel Automatic 1.6 for ...","https://www.pakwheels.com/used-cars/honda-civic-2000-for-sale-in-islamabad-6065983","Honda Civic VTi Oriel Automatic 1.6 2000","257,000 km","null","null","Petrol","Islamabad","Grey","1600 cc","null","null","Automatic","3","https://www.pakwheels.com/used-cars/search/-/?page=3","PKR 11.45 lacs"
"1648914679-539","https://www.pakwheels.com/used-cars/search/-/","Suzuki Cultus  2014 EURO II for Sale","https://www.pakwheels.com/used-cars/suzuki-cultus-2014-for-sale-in-karachi-6066007","Suzuki Cultus EURO II 2014","58,750 km","null","null","Petrol","Karachi","Grey","1000 cc","null","null","null","2","https://www.pakwheels.com/used-cars/search/-/?page=2","PKR 11.5 lacs"
"1648914601-513","https://www.pakwheels.com/used-cars/search/-/","Toyota Corolla  2002 GLi 1.3 for Sale","https://www.pakwheels.com/used-cars/toyota-corolla-2002-for-sale-in-swabi-6065989","Toyota Corolla GLi 1.3 2002","110,000 km","null","null","null","Islamabad","Silver","1300 cc","null","null","null","3","https://www.pakwheels.com/used-cars/search/-/?page=3","PKR 14.9 lacs"
"1648914626-522","https://www.pakwheels.com/used-cars/search/-/","Honda Vezel  2016 Hybrid Z Honda Sensing  for ...","https://www.pakwheels.com/used-cars/honda-vezel-2016-for-sale-in-islamabad-6066000","Honda Vezel Hybrid Z Honda Sensing  2016","68,000 km","null","null","Petrol","Islamabad","White","1500 cc","Imported","null","Automatic","3","https://www.pakwheels.com/used-cars/search/-/?page=3","PKR 42.5 lacs"
"1648914499-477","https://www.pakwheels.com/used-cars/search/-/","Toyota Corolla  2012 GLi Automatic 1.6 VVTi fo...","https://www.pakwheels.com/used-cars/toyota-corolla-2012-for-sale-in-peshawar-6065959","Toyota Corolla GLi Automatic 1.6 VVTi 2012","93,000 km","null","null","Petrol","Punjab","Olive Mica","1600 cc","null","null","Automatic","4","https://www.pakwheels.com/used-cars/search/-/?page=4","PKR 24 lacs"
"1648914730-557","https://www.pakwheels.com/used-cars/search/-/","Toyota Corolla  2008 XLi for Sale","https://www.pakwheels.com/used-cars/toyota-corolla-2008-for-sale-in-okara-6066017","Toyota Corolla XLi 2008","110,000 km","null","null","Petrol","Punjab","White","1300 cc","null","null","null","","","PKR 19.8 lacs"
"1648914705-548","https://www.pakwheels.com/used-cars/search/-/","Honda City  2021 1.3 i-VTEC for Sale","https://www.pakwheels.com/used-cars/honda-city-2021-for-sale-in-multan-5983398","Honda City 1.3 i-VTEC 2021","15,770 km","Multan","2021","Petrol","Un-Registered","White","1300 cc","null","null","null","2","https://www.pakwheels.com/used-cars/search/-/?page=2","PKR 27 lacs"
"1648914383-439","https://www.pakwheels.com/used-cars/search/-/","Suzuki Mehran  2010 VXR (CNG) for Sale","https://www.pakwheels.com/used-cars/suzuki-mehran-2010-for-sale-in-peshawar-6065933","Suzuki Mehran VXR (CNG) 2010","120,000 km","null","null","Petrol","Islamabad","Silver","800 cc","null","null","null","5","https://www.pakwheels.com/used-cars/search/-/?page=5","PKR 6.7 lacs"
"1648914814-582","https://www.pakwheels.com/used-cars/search/-/","Nissan Note  2016 X for Sale","https://www.pakwheels.com/used-cars/nissan-note-2016-for-sale-in-lahore-6066010","Nissan Note X 2016","79,000 km","37-A Main Boulevard Shok Chowk Johar Town Lahore.","null","null","Punjab","Black","1200 cc","Imported","null","Automatic","","","PKR 31.5 lacs"
"1648914562-500","https://www.pakwheels.com/used-cars/search/-/","Honda Civic Reborn 2007 VTi Oriel Prosmatec 1....","https://www.pakwheels.com/used-cars/honda-civic-2007-for-sale-in-lahore-6037687","Honda Civic VTi Oriel Prosmatec 1.8 i-VTEC 2007","10,000 km","null","null","Petrol","Karachi","Grey","1800 cc","null","null","Automatic","4","https://www.pakwheels.com/used-cars/search/-/?page=4","PKR 15.7 lacs"
"1648914764-566","https://www.pakwheels.com/used-cars/search/-/","Suzuki Cultus  2020 VXL for Sale","https://www.pakwheels.com/used-cars/suzuki-cultus-2020-for-sale-in-lahore-6066027","Suzuki Cultus VXL 2020","31,000 km","Jail Road","null","Petrol","Punjab","White","1000 cc","null","null","null","","","PKR 23.5 lacs"
"1648914535-490","https://www.pakwheels.com/used-cars/search/-/","Toyota Land Cruiser  2017 ZX for Sale","https://www.pakwheels.com/used-cars/toyota-land-cruiser-2017-for-sale-in-lahore-6053121","Toyota Land Cruiser ZX 2017","39,000 km","23-A Moulana Shoukat Ali Road Johar Town Lahore.","null","Petrol","Un-Registered","Pearl Black","4600 cc","Imported","null","Automatic","4","https://www.pakwheels.com/used-cars/search/-/?page=4","PKR 3.51 crore"
"1648914538-491","https://www.pakwheels.com/used-cars/search/-/","Honda Civic  2022 Oriel for Sale","https://www.pakwheels.com/used-cars/honda-civic-2022-for-sale-in-multan-6059319","Honda Civic Oriel 2022","10 km","null","null","Petrol","Un-Registered","White","1500 cc","null","null","Automatic","4","https://www.pakwheels.com/used-cars/search/-/?page=4","PKR 60.5 lacs"
"1648914632-524","https://www.pakwheels.com/used-cars/search/-/","Toyota Hiace  2012 GL for Sale","https://www.pakwheels.com/used-cars/toyota-hiace-2012-for-sale-in-lahore-6062455","Toyota Hiace GL 2012","150,000 km","null","null","Petrol","Punjab","Silver","2700 cc","Imported","null","Automatic","3","https://www.pakwheels.com/used-cars/search/-/?page=3","PKR 40 lacs"
"1648914557-498","https://www.pakwheels.com/used-cars/search/-/","KIA Picanto  2021 1.0 MT for Sale","https://www.pakwheels.com/used-cars/kia-picanto-2021-for-sale-in-lahore-6065638","KIA Picanto 1.0 MT 2021","17,500 km","null","2021","Petrol","Punjab","Silver","1000 cc","null","null","null","4","https://www.pakwheels.com/used-cars/search/-/?page=4","PKR 21.85 lacs"
"1648914800-577","https://www.pakwheels.com/used-cars/search/-/","Toyota Hilux  2020 Revo V Automatic 2.8 for Sale","https://www.pakwheels.com/used-cars/toyota-hilux-2020-for-sale-in-lahore-6065968","Toyota Hilux Revo V Automatic 2.8 2020","21,000 km","34-A, Jail Road Lahore","null","null","Lahore","Black","2800 cc","null","null","Automatic","","","PKR 82.5 lacs"
"1648914426-454","https://www.pakwheels.com/used-cars/search/-/","Honda City  2019 1.3 i-VTEC Prosmatec for Sale","https://www.pakwheels.com/used-cars/honda-city-2019-for-sale-in-islamabad-6065946","Honda City 1.3 i-VTEC Prosmatec 2019","47,000 km","G/11 Markaz Near Punjab Bank Islamabad","null","Petrol","Islamabad","White","1300 cc","null","null","Automatic","5","https://www.pakwheels.com/used-cars/search/-/?page=5","PKR 27.95 lacs"
"1648914821-584","https://www.pakwheels.com/used-cars/search/-/","Toyota Aqua  2019  for Sale","https://www.pakwheels.com/used-cars/toyota-aqua-2019-for-sale-in-multan-6055702","Toyota Aqua 2019","46,000 km","null","null","null","Un-Registered","Blue","1500 cc","Imported","null","Automatic","","","PKR 37.8 lacs"
"1648914497-476","https://www.pakwheels.com/used-cars/search/-/","Toyota Corolla  2021 Altis Automatic 1.6 for Sale","https://www.pakwheels.com/used-cars/toyota-corolla-2021-for-sale-in-lahore-6065958","Toyota Corolla Altis Automatic 1.6 2021","5,000 km","null","2021","Petrol","Un-Registered","White","1600 cc","null","null","Automatic","4","https://www.pakwheels.com/used-cars/search/-/?page=4","PKR 38.75 lacs"
"1648914647-529","https://www.pakwheels.com/used-cars/search/-/","Toyota Hilux  2021 Revo V Automatic 2.8 for Sale","https://www.pakwheels.com/used-cars/toyota-hilux-2021-for-sale-in-lahore-6065859","Toyota Hilux Revo V Automatic 2.8 2021","15,000 km","3-B Main Jail Road Lahore","2021","null","Punjab","Black","2800 cc","null","null","Automatic","3","https://www.pakwheels.com/used-cars/search/-/?page=3","PKR 93.5 lacs"
"1648914417-451","https://www.pakwheels.com/used-cars/search/-/","Suzuki Alto  2009 VXR (CNG) for Sale","https://www.pakwheels.com/used-cars/suzuki-alto-2009-for-sale-in-karachi-6065944","Suzuki Alto VXR (CNG) 2009","100,000 km","null","null","Petrol","Karachi","Olive Green","1000 cc","null","null","null","5","https://www.pakwheels.com/used-cars/search/-/?page=5","PKR 7.3 lacs"
"1648914607-515","https://www.pakwheels.com/used-cars/search/-/","Suzuki Cultus  2005 VXR for Sale","https://www.pakwheels.com/used-cars/suzuki-cultus-2005-for-sale-in-multan-6065991","Suzuki Cultus VXR 2005","496,000 km","null","null","Petrol","Faisalabad","Silver","1000 cc","null","null","null","3","https://www.pakwheels.com/used-cars/search/-/?page=3","PKR 5.5 lacs"
"1648914699-546","https://www.pakwheels.com/used-cars/search/-/","Honda City  2010  for Sale","https://www.pakwheels.com/used-cars/honda-city-2010-for-sale-in-lahore-6066005","Honda City 2010","100,000 km","null","null","Petrol","Lahore","Grey","1300 cc","null","null","null","2","https://www.pakwheels.com/used-cars/search/-/?page=2","PKR 16 lacs"
"1648914527-487","https://www.pakwheels.com/used-cars/search/-/","Suzuki Khyber  1989 Limited Edition for Sale","https://www.pakwheels.com/used-cars/suzuki-khyber-1989-for-sale-in-islamabad-6065971","Suzuki Khyber Limited Edition 1989","150,000 km","null","null","Petrol","Lahore","Grey","1000 cc","Imported","null","null","4","https://www.pakwheels.com/used-cars/search/-/?page=4","PKR 3.5 lacs"
"1648914507-480","https://www.pakwheels.com/used-cars/search/-/","Suzuki Liana  2008 LXi for Sale","https://www.pakwheels.com/used-cars/suzuki-liana-2008-for-sale-in-rawalpindi-6065962","Suzuki Liana LXi 2008","110,355 km","null","null","Petrol","Islamabad","White","1300 cc","null","null","null","4","https://www.pakwheels.com/used-cars/search/-/?page=4","PKR 11.3 lacs"
"1648914757-564","https://www.pakwheels.com/used-cars/search/-/","Suzuki Wagon R  2022 VXL for Sale","https://www.pakwheels.com/used-cars/suzuki-wagon-r-2022-for-sale-in-lahore-6066025","Suzuki Wagon R VXL 2022","115 km","null","null","Petrol","Punjab","White","1000 cc","null","null","null","","","PKR 24 lacs"
"1648914303-418","https://www.pakwheels.com/used-cars/search/-/","Toyota Hiace  2009  for Sale","https://www.pakwheels.com/used-cars/toyota-hiace-2009-for-sale-in-lahore-4417217","Toyota Hiace 2009","300,000 km","null","null","Petrol","Lahore","Silver","2700 cc","Imported","null","Automatic","Last »","https://www.pakwheels.com/used-cars/search/-/?page=3162","PKR 32 lacs"
"1648914722-554","https://www.pakwheels.com/used-cars/search/-/","Honda Freed  2012 + Hybrid G Honda Sensing for...","https://www.pakwheels.com/used-cars/honda-freed-2012-for-sale-in-islamabad-6019848","Honda Freed + Hybrid G Honda Sensing 2012","150,000 km","null","null","null","Islamabad","Turquoise","1500 cc","Imported","null","Automatic","2","https://www.pakwheels.com/used-cars/search/-/?page=2","PKR 25.5 lacs"
"1648914641-527","https://www.pakwheels.com/used-cars/search/-/","Nissan Juke  2010 15RS for Sale","https://www.pakwheels.com/used-cars/nissan-juke-2010-for-sale-in-lahore-6065858","Nissan Juke 15RS 2010","115,000 km","null","null","Petrol","Karachi","White","1500 cc","Imported","null","Automatic","3","https://www.pakwheels.com/used-cars/search/-/?page=3","PKR 21.65 lacs"
"1648914546-494","https://www.pakwheels.com/used-cars/search/-/","Honda Civic  2022 Oriel for Sale","https://www.pakwheels.com/used-cars/honda-civic-2022-for-sale-in-multan-6040592","Honda Civic Oriel 2022","5 km","null","null","Petrol","Un-Registered","Silver","1500 cc","null","null","Automatic","4","https://www.pakwheels.com/used-cars/search/-/?page=4","PKR 60.5 lacs"
"1648914456-463","https://www.pakwheels.com/used-cars/search/-/","Toyota Corolla  2011 XLi VVTi Limited Edition ...","https://www.pakwheels.com/used-cars/toyota-corolla-2011-for-sale-in-islamabad-6016494","Toyota Corolla XLi VVTi Limited Edition 2011","220,000 km","null","null","Petrol","Islamabad","White","1300 cc","null","null","null","5","https://www.pakwheels.com/used-cars/search/-/?page=5","PKR 19.5 lacs"
"1648914464-466","https://www.pakwheels.com/used-cars/search/-/","KIA Picanto  2021 1.0 AT for Sale","https://www.pakwheels.com/used-cars/kia-picanto-2021-for-sale-in-lahore-5960313","KIA Picanto 1.0 AT 2021","2,501 km","null","2021","Petrol","Punjab","Blue","1000 cc","Imported","null","Automatic","5","https://www.pakwheels.com/used-cars/search/-/?page=5","PKR 27 lacs"
"1648914447-460","https://www.pakwheels.com/used-cars/search/-/","KIA Sportage  2021 AWD for Sale","https://www.pakwheels.com/used-cars/kia-sportage-2021-for-sale-in-sialkot-6065710","KIA Sportage AWD 2021","24,000 km","null","2021","Petrol","Islamabad","Black","2000 cc","null","null","Automatic","5","https://www.pakwheels.com/used-cars/search/-/?page=5","PKR 61 lacs"
"1648914380-438","https://www.pakwheels.com/used-cars/search/-/","Honda Civic  2018 1.8 i-VTEC CVT for Sale","https://www.pakwheels.com/used-cars/honda-civic-2018-for-sale-in-quetta-6065934","Honda Civic 1.8 i-VTEC CVT 2018","100,000 km","null","null","Petrol","Karachi","White","1800 cc","Imported","null","Automatic","5","https://www.pakwheels.com/used-cars/search/-/?page=5","PKR 36 lacs"
"1648914596-511","https://www.pakwheels.com/used-cars/search/-/","Toyota Corolla  2009 GLi 1.3 VVTi for Sale","https://www.pakwheels.com/used-cars/toyota-corolla-2009-for-sale-in-rawalpindi-6065987","Toyota Corolla GLi 1.3 VVTi 2009","144,000 km","null","null","Petrol","Lahore","Green","1300 cc","null","null","null","3","https://www.pakwheels.com/used-cars/search/-/?page=3","PKR 17.8 lacs"
"1648914549-495","https://www.pakwheels.com/used-cars/search/-/","Changan Alsvin  2022 1.5L DCT Lumiere for Sale","https://www.pakwheels.com/used-cars/changan-alsvin-2022-for-sale-in-multan-6042129","Changan Alsvin 1.5L DCT Lumiere 2022","5 km","null","null","Petrol","Un-Registered","White","1500 cc","null","null","Automatic","4","https://www.pakwheels.com/used-cars/search/-/?page=4","PKR 30.8 lacs"
"1648914588-508","https://www.pakwheels.com/used-cars/search/-/","Daihatsu Cuore  2007 CX Ecomatic for Sale","https://www.pakwheels.com/used-cars/daihatsu-cuore-2007-for-sale-in-bahawalpur-6065982","Daihatsu Cuore CX Ecomatic 2007","112,000 km","Husaini chowk Ranger market hasil pur road","null","Petrol","Lahore","White","800 cc","null","null","Automatic","3","https://www.pakwheels.com/used-cars/search/-/?page=3","PKR 7.5 lacs"
